278,0 7,7606368492 3,44636877039 17,5053205395 0,0403509 0,3881 0,376179 0,39007 S
182,0 7,70817260637 3,49949339442 18,4173409642 0,0407586 0,390247 0,378278 0,392203 N
397,0 7,60894051134 2,91195322084 16,8443748892 0,0409603 0,386447 0,374515 0,388411 S
768,0 8,18904909187 3,35497243037 16,9627885029 0,0409603 0,386447 0,374515 0,388411 S
94,0 7,65039393924 3,06470623625 17,2658511178 0,0412259 0,387277 0,375334 0,389189 N
706,0 7,9813309772 2,52573326793 15,5563198365 0,0418382 0,381963 0,37 0,383745 S
155,0 7,93407039477 2,60931896721 16,8016243684 0,0418453 0,386054 0,374126 0,387956 N
599,0 8,41682140151 2,96850559832 16,7016706953 0,0418453 0,386054 0,374126 0,387956 S
698,0 7,83633156297 3,49479915266 16,6702769542 0,0418453 0,386054 0,374126 0,387956 S
22,0 8,35275582194 2,78206489871 15,4095080175 0,0419021 0,381314 0,369356 0,383072 S
114,0 7,74500828549 2,61394287564 15,4344823466 0,0419021 0,381314 0,369356 0,383072 S
260,0 7,95609888022 3,21129238959 15,4346821308 0,0419021 0,381314 0,369356 0,383072 S
960,0 8,40544910994 3,07001069859 15,3279487726 0,0419021 0,381314 0,369356 0,383072 S
452,0 8,02798026487 2,94220516499 16,0485725832 0,0422859 0,383705 0,371776 0,385579 N
590,0 7,58844048296 3,19414918783 15,2693772644 0,0425038 0,38073 0,368762 0,382451 N
694,0 8,28584459959 2,61852620113 15,1917445109 0,0425038 0,38073 0,368762 0,382451 S
499,0 7,69469642355 2,69534005225 15,143110873 0,0434661 0,379937 0,367978 0,381609 N
883,0 8,03161647029 3,20657636221 14,7557345894 0,0436602 0,378519 0,366529 0,380116 N
558,0 8,32312056566 3,15005059564 14,6161046175 0,044045 0,377828 0,365838 0,379343 N
990,0 8,09831051983 3,11314688068 14,6281231131 0,044045 0,377828 0,365838 0,379343 S
65,0 8,34033746399 2,71707591046 14,3797668566 0,0455742 0,376309 0,364303 0,377765 S
762,0 8,28332858501 3,06402593989 14,3547678513 0,0455742 0,376309 0,364303 0,377765 S
393,0 8,05 3,01611495031 14,5404305449 0,0456548 0,377069 0,365055 0,378529 N
