105 4 2 0,0324726252417 1,08964 0,000295689 0,000153393 0,000162248 S
106 4 2 0,0472186302991 1,08964 0,000295689 0,000153393 0,000162248 S
107 4 2 0,017732742971 1,08964 0,000295689 0,000153393 0,000162248 S
108 4 2 0,0677384403222 1,08964 0,000295689 0,000153393 0,000162248 S
109 4 2 0,00186089757058 1,08964 0,000295689 0,000153393 0,000162248 S
110 4 2 0,00839854988576 1,08964 0,000295689 0,000153393 0,000162248 S
111 4 2 0,0605454359216 1,08964 0,000295689 0,000153393 0,000162248 S
112 4 2 0,00239439320878 1,08964 0,000295689 0,000153393 0,000162248 S
113 4 2 0,100252601793 1,08964 0,000295689 0,000153393 0,000162248 S
114 4 2 0,0401600193718 1,08964 0,000295689 0,000153393 0,000162248 S
115 4 2 0,0985531751428 1,08964 0,000295689 0,000153393 0,000162248 S
116 4 2 0,00225189501782 1,08964 0,000295689 0,000153393 0,000162248 S
117 4 2 0,0746908230544 1,08964 0,000295689 0,000153393 0,000162248 S
118 4 2 0,0804827351624 1,08964 0,000295689 0,000153393 0,000162248 S
119 4 2 0,0559920115508 1,08964 0,000295689 0,000153393 0,000162248 S
120 4 2 0,00530938078283 1,08964 0,000295689 0,000153393 0,000162248 S
121 4 2 0,05 1,08964 0,000295689 0,000153393 0,000162248 S
122 4 2 0,0249004447891 1,08964 0,000295689 0,000153393 0,000162248 S
123 4 2 0,00435820134411 1,08964 0,000295689 0,000153393 0,000162248 S
124 4 2 0,000610442816988 1,08964 0,000295689 0,000153393 0,000162248 S
125 4 2 0,0147893252738 1,08964 0,000295689 0,000153393 0,000162248 S
126 4 2 0,0230372113565 1,08964 0,000295689 0,000153393 0,000162248 S
127 4 2 0,014238862765 1,08964 0,000295689 0,000153393 0,000162248 S
128 4 2 0,000130958404151 1,08964 0,000295689 0,000153393 0,000162248 S
129 4 2 0,0190501819147 1,08964 0,000295689 0,000153393 0,000162248 S
130 4 2 0,05 1,08964 0,000295689 0,000153393 0,000162248 S
131 4 2 0,0433470164827 1,08964 0,000295689 0,000153393 0,000162248 S
132 4 2 0,0206918142422 1,08964 0,000295689 0,000153393 0,000162248 S
133 4 2 0,0147076033786 1,08964 0,000295689 0,000153393 0,000162248 S
134 4 2 0,0475680475852 1,08964 0,000295689 0,000153393 0,000162248 S
135 4 2 0,0399264159219 1,08964 0,000295689 0,000153393 0,000162248 S
136 4 2 0,05 1,08964 0,000295689 0,000153393 0,000162248 S
137 4 2 0,00036511652803 1,08964 0,000295689 0,000153393 0,000162248 S
138 4 2 0,0261017366083 1,08964 0,000295689 0,000153393 0,000162248 S
139 4 2 0,000281429272296 1,08964 0,000295689 0,000153393 0,000162248 S
140 4 2 0,0159327655388 1,08964 0,000295689 0,000153393 0,000162248 S
141 4 2 0,0655692097798 1,08964 0,000295689 0,000153393 0,000162248 S
142 4 2 0,0757378694236 1,08964 0,000295689 0,000153393 0,000162248 S
143 4 2 0,0759066194329 1,08964 0,000295689 0,000153393 0,000162248 S
144 4 2 0,0775080185898 1,08964 0,000295689 0,000153393 0,000162248 S
145 4 2 0,0270634764215 1,08964 0,000295689 0,000153393 0,000162248 S
146 4 2 0,0204565401399 1,08964 0,000295689 0,000153393 0,000162248 S
147 4 2 0,0299415122757 1,08964 0,000295689 0,000153393 0,000162248 S
148 4 2 0,0924116665014 1,08964 0,000295689 0,000153393 0,000162248 S
149 4 2 0,0971665833191 1,08964 0,000295689 0,000153393 0,000162248 S
150 4 2 0,00645233535154 1,08964 0,000295689 0,000153393 0,000162248 S
151 4 2 0,001597591898 1,08964 0,000295689 0,000153393 0,000162248 S
152 4 2 0,0417392391322 1,08964 0,000295689 0,000153393 0,000162248 S
153 4 2 0,010563993206 1,08964 0,000295689 0,000153393 0,000162248 S
154 4 2 0,0562740063906 1,08964 0,000295689 0,000153393 0,000162248 S
155 4 2 0,00151918723463 1,08964 0,000295689 0,000153393 0,000162248 S
156 4 2 0,0324726252417 1,08964 0,000295689 0,000153393 0,000162248 S
157 4 2 0,0472186302991 1,08964 0,000295689 0,000153393 0,000162248 S
158 4 2 0,017732742971 1,08964 0,000295689 0,000153393 0,000162248 S
159 4 2 0,0677384403222 1,08964 0,000295689 0,000153393 0,000162248 S
160 4 2 0,00186089757058 1,08964 0,000295689 0,000153393 0,000162248 S
161 4 2 0,00839854988576 1,08964 0,000295689 0,000153393 0,000162248 S
162 2 3 0,048680029034 1,05839 0,000302083 0,000187229 0,00018095 S
163 2 3 0,000678839983702 1,05839 0,000302083 0,000187229 0,00018095 S
164 2 3 0,00125221412599 1,05839 0,000302083 0,000187229 0,00018095 S
165 2 3 0,0166109515837 1,05839 0,000302083 0,000187229 0,00018095 S
166 2 3 0,0302895323721 1,05839 0,000302083 0,000187229 0,00018095 S
167 2 3 0,0338720152655 1,05839 0,000302083 0,000187229 0,00018095 S
168 2 3 0,0216735388838 1,05839 0,000302083 0,000187229 0,00018095 S
169 2 3 0,0618927701949 1,05839 0,000302083 0,000187229 0,00018095 S
170 2 3 0,00544664836467 1,05839 0,000302083 0,000187229 0,00018095 S
171 2 3 0,056742013465 1,05839 0,000302083 0,000187229 0,00018095 S
172 2 3 0,0745621849034 1,05839 0,000302083 0,000187229 0,00018095 S
173 2 3 0,00663703983579 1,05839 0,000302083 0,000187229 0,00018095 S
174 2 3 0,0209655717278 1,05839 0,000302083 0,000187229 0,00018095 S
175 2 3 0,00271587703036 1,05839 0,000302083 0,000187229 0,00018095 S
176 2 3 0,0677515395852 1,05839 0,000302083 0,000187229 0,00018095 S
177 2 3 0,00675866656099 1,05839 0,000302083 0,000187229 0,00018095 S
178 2 3 0,0142493555458 1,05839 0,000302083 0,000187229 0,00018095 S
179 2 3 0,0326006900309 1,05839 0,000302083 0,000187229 0,00018095 S
180 2 3 0,036451695182 1,05839 0,000302083 0,000187229 0,00018095 S
181 2 3 0,0719833949629 1,05839 0,000302083 0,000187229 0,00018095 S
182 2 3 0,0171632956577 1,05839 0,000302083 0,000187229 0,00018095 S
183 2 3 0,0199645568772 1,05839 0,000302083 0,000187229 0,00018095 S
184 2 3 0,0455213476806 1,05839 0,000302083 0,000187229 0,00018095 S
185 2 3 0,042103698138 1,05839 0,000302083 0,000187229 0,00018095 S
186 2 3 0,0239331809298 1,05839 0,000302083 0,000187229 0,00018095 S
187 2 3 0,00991650525081 1,05839 0,000302083 0,000187229 0,00018095 S
188 2 3 0,0533023811252 1,05839 0,000302083 0,000187229 0,00018095 S
189 2 3 3,25E-05 1,05839 0,000302083 0,000187229 0,00018095 S
190 2 3 0,0384273926605 1,05839 0,000302083 0,000187229 0,00018095 S
191 2 3 0,0382809815402 1,05839 0,000302083 0,000187229 0,00018095 S
192 2 3 0,0743872989665 1,05839 0,000302083 0,000187229 0,00018095 S
193 2 3 0,0358147783005 1,05839 0,000302083 0,000187229 0,00018095 S
194 2 3 0,0618764558856 1,05839 0,000302083 0,000187229 0,00018095 S
195 2 3 0,0663718662186 1,05839 0,000302083 0,000187229 0,00018095 S
196 2 3 0,0175666331727 1,05839 0,000302083 0,000187229 0,00018095 S
197 2 3 0,03643775568 1,05839 0,000302083 0,000187229 0,00018095 S
198 2 3 0,044920143075 1,05839 0,000302083 0,000187229 0,00018095 S
199 2 3 0,0362842976358 1,05839 0,000302083 0,000187229 0,00018095 S
200 2 3 8,08E-05 1,05839 0,000302083 0,000187229 0,00018095 S
201 2 3 0,0138136141188 1,05839 0,000302083 0,000187229 0,00018095 S
202 2 3 0,0356606470628 1,05839 0,000302083 0,000187229 0,00018095 S
203 2 3 0,018356488779 1,05839 0,000302083 0,000187229 0,00018095 S
204 2 3 0,031806886792 1,05839 0,000302083 0,000187229 0,00018095 S
205 2 3 0,0676914927813 1,05839 0,000302083 0,000187229 0,00018095 S
206 2 3 5 1,05839 0,000302083 0,000187229 0,00018095 S
207 2 3 0,0137956897719 1,05839 0,000302083 0,000187229 0,00018095 S
208 2 3 0,0213009195019 1,05839 0,000302083 0,000187229 0,00018095 S
209 2 3 0,0400946674746 1,05839 0,000302083 0,000187229 0,00018095 S
210 2 3 0,0746300091802 1,05839 0,000302083 0,000187229 0,00018095 S
211 2 3 0,0574010657133 1,05839 0,000302083 0,000187229 0,00018095 S
212 2 3 0,0241100460642 1,05839 0,000302083 0,000187229 0,00018095 S
213 2 3 0,048680029034 1,05839 0,000302083 0,000187229 0,00018095 S
214 2 3 0,000678839983702 1,05839 0,000302083 0,000187229 0,00018095 S
215 2 3 0,00125221412599 1,05839 0,000302083 0,000187229 0,00018095 S
216 2 3 0,0166109515837 1,05839 0,000302083 0,000187229 0,00018095 S
217 2 3 0,0302895323721 1,05839 0,000302083 0,000187229 0,00018095 S
218 2 3 0,0338720152655 1,05839 0,000302083 0,000187229 0,00018095 S
219 2 3 0,0216735388838 1,05839 0,000302083 0,000187229 0,00018095 S
220 2 3 0,0618927701949 1,05839 0,000302083 0,000187229 0,00018095 S
221 2 3 0,00544664836467 1,05839 0,000302083 0,000187229 0,00018095 S
222 2 3 0,056742013465 1,05839 0,000302083 0,000187229 0,00018095 S
223 2 3 0,0745621849034 1,05839 0,000302083 0,000187229 0,00018095 S
224 2 3 0,00663703983579 1,05839 0,000302083 0,000187229 0,00018095 S
225 2 3 0,0209655717278 1,05839 0,000302083 0,000187229 0,00018095 S
226 2 3 0,00271587703036 1,05839 0,000302083 0,000187229 0,00018095 S
227 2 3 0,0677515395852 1,05839 0,000302083 0,000187229 0,00018095 S
228 2 3 0,00675866656099 1,05839 0,000302083 0,000187229 0,00018095 S
229 2 3 0,0142493555458 1,05839 0,000302083 0,000187229 0,00018095 S
230 2 3 0,0326006900309 1,05839 0,000302083 0,000187229 0,00018095 S
231 2 3 0,036451695182 1,05839 0,000302083 0,000187229 0,00018095 S
232 2 3 0,0719833949629 1,05839 0,000302083 0,000187229 0,00018095 S
233 2 3 0,0171632956577 1,05839 0,000302083 0,000187229 0,00018095 S
234 2 3 0,0199645568772 1,05839 0,000302083 0,000187229 0,00018095 S
235 2 3 0,0455213476806 1,05839 0,000302083 0,000187229 0,00018095 S
236 2 3 0,042103698138 1,05839 0,000302083 0,000187229 0,00018095 S
237 2 3 0,0239331809298 1,05839 0,000302083 0,000187229 0,00018095 S
238 2 3 0,00991650525081 1,05839 0,000302083 0,000187229 0,00018095 S
239 2 3 0,0533023811252 1,05839 0,000302083 0,000187229 0,00018095 S
240 2 3 3,25E-05 1,05839 0,000302083 0,000187229 0,00018095 S
241 2 3 0,0384273926605 1,05839 0,000302083 0,000187229 0,00018095 S
242 2 3 0,0382809815402 1,05839 0,000302083 0,000187229 0,00018095 S
243 2 3 0,0743872989665 1,05839 0,000302083 0,000187229 0,00018095 S
244 2 3 0,0358147783005 1,05839 0,000302083 0,000187229 0,00018095 S
245 2 3 0,0618764558856 1,05839 0,000302083 0,000187229 0,00018095 S
246 2 3 0,0663718662186 1,05839 0,000302083 0,000187229 0,00018095 S
247 2 3 0,0175666331727 1,05839 0,000302083 0,000187229 0,00018095 S
248 2 3 0,03643775568 1,05839 0,000302083 0,000187229 0,00018095 S
249 2 3 0,044920143075 1,05839 0,000302083 0,000187229 0,00018095 S
250 2 3 0,0362842976358 1,05839 0,000302083 0,000187229 0,00018095 S
251 2 3 8,08E-05 1,05839 0,000302083 0,000187229 0,00018095 S
252 2 3 0,0138136141188 1,05839 0,000302083 0,000187229 0,00018095 S
253 2 3 0,0356606470628 1,05839 0,000302083 0,000187229 0,00018095 S
254 2 3 0,018356488779 1,05839 0,000302083 0,000187229 0,00018095 S
255 2 3 0,031806886792 1,05839 0,000302083 0,000187229 0,00018095 S
256 2 3 0,0676914927813 1,05839 0,000302083 0,000187229 0,00018095 S
257 2 3 5 1,05839 0,000302083 0,000187229 0,00018095 S
258 2 3 0,0137956897719 1,05839 0,000302083 0,000187229 0,00018095 S
259 2 3 0,0213009195019 1,05839 0,000302083 0,000187229 0,00018095 S
260 2 3 0,0400946674746 1,05839 0,000302083 0,000187229 0,00018095 S
261 2 3 0,0746300091802 1,05839 0,000302083 0,000187229 0,00018095 S
262 2 3 0,0574010657133 1,05839 0,000302083 0,000187229 0,00018095 S
263 3 2 0,0778353881482 1,08786 0,000329964 0,000184893 0,000199624 S
264 3 2 0,0882649269638 1,08786 0,000329964 0,000184893 0,000199624 S
265 3 2 0,0935817508834 1,08786 0,000329964 0,000184893 0,000199624 S
266 3 2 0,101174496966 1,08786 0,000329964 0,000184893 0,000199624 S
267 3 2 0,0990719074385 1,08786 0,000329964 0,000184893 0,000199624 S
268 3 2 0,0995324924728 1,08786 0,000329964 0,000184893 0,000199624 S
269 3 2 0,104199342578 1,08786 0,000329964 0,000184893 0,000199624 S
